Date,High_RUI,Low_RUI,Open_RUI,Close_RUI,Volume_RUI
2010-06-21,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-06-22,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-06-23,0.01752999983727932,0.01752999983727932,0.01752999983727932,0.01752999983727932,0
2010-06-24,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2010-06-25,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2010-06-28,0.01583000086247921,0.01583000086247921,0.01583000086247921,0.01583000086247921,0
2010-06-29,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-06-30,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-07-01,0.012439999729394913,0.012439999729394913,0.012439999729394913,0.012439999729394913,0
2010-07-02,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-07-06,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-07-07,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-07-08,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-07-09,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-07-12,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-13,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-14,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-15,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-16,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-07-19,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-07-20,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-07-21,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-07-22,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-23,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-26,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-27,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-28,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-29,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-07-30,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-08-02,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-08-03,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-08-04,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-08-05,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-08-06,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-08-09,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-10,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-11,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-12,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-13,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-16,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-17,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2010-08-18,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-19,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-20,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-23,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-24,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-25,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-26,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-27,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-30,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-08-31,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-09-01,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2010-09-02,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-03,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-07,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-08,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-09,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-10,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-13,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-14,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-09-15,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-09-16,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-17,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-20,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-21,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-22,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-23,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-24,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-27,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-28,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-29,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2010-09-30,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2010-10-01,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2010-10-04,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2010-10-05,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-06,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-07,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-08,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-11,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-12,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-13,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-14,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-15,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2010-10-18,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-10-19,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2010-10-20,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2010-10-21,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2010-10-22,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-10-25,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-10-26,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-10-27,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-10-28,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-10-29,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-01,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-02,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-03,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-04,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-05,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-08,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-09,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-10,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-11,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-12,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-15,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-16,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-17,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-11-18,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2010-11-19,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-22,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-23,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-11-24,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2010-11-26,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2010-11-29,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2010-11-30,0.01752999983727932,0.01752999983727932,0.01752999983727932,0.01752999983727932,0
2010-12-01,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-12-02,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2010-12-03,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2010-12-06,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2010-12-07,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2010-12-08,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2010-12-09,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2010-12-10,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2010-12-13,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-12-14,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-12-15,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-12-16,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-12-17,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2010-12-20,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2010-12-21,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2010-12-22,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2010-12-23,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2010-12-27,0.022050000727176666,0.022050000727176666,0.022050000727176666,0.022050000727176666,0
2010-12-28,0.022050000727176666,0.022050000727176666,0.022050000727176666,0.022050000727176666,0
2010-12-29,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2010-12-30,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-03,0.022609999403357506,0.022609999403357506,0.022609999403357506,0.022609999403357506,0
2011-01-04,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-05,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-06,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-07,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-10,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-11,0.01978999935090542,0.01978999935090542,0.01978999935090542,0.01978999935090542,0
2011-01-12,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-01-13,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-01-14,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-01-18,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-01-19,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-01-20,0.01752999983727932,0.01752999983727932,0.01752999983727932,0.01752999983727932,0
2011-01-21,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-24,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-25,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-26,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-27,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-28,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-01-31,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-01,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-02,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-03,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-04,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-02-07,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-02-08,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-02-09,0.01865999959409237,0.01865999959409237,0.01865999959409237,0.01865999959409237,0
2011-02-10,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-11,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-02-14,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-15,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-16,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-17,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-18,0.01809000037610531,0.01809000037610531,0.01809000037610531,0.01809000037610531,0
2011-02-22,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-02-23,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-02-24,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-02-25,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-02-28,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-03-01,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-03-02,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-03-03,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-04,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-07,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-08,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-09,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-10,0.01696000061929226,0.01696000061929226,0.01696000061929226,0.01696000061929226,0
2011-03-11,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-03-14,0.01640000008046627,0.01640000008046627,0.01640000008046627,0.01640000008046627,0
2011-03-15,0.01583000086247921,0.01583000086247921,0.01583000086247921,0.01583000086247921,0
2011-03-16,0.01583000086247921,0.01583000086247921,0.01583000086247921,0.01583000086247921,0
2011-03-17,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-18,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-21,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-22,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-23,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-24,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-25,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-03-28,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2011-03-29,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2011-03-30,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-03-31,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-04-01,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-04-04,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-04-05,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-04-06,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2011-04-07,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-08,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-11,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-12,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-13,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-14,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-15,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-18,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-19,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-20,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-04-21,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-04-26,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-04-27,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-04-28,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-04-29,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-05-02,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-05-03,0.015259999781847,0.015259999781847,0.015259999781847,0.015259999781847,0
2011-05-04,0.014700000174343586,0.014700000174343586,0.014700000174343586,0.014700000174343586,0
2011-05-05,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-05-06,0.01413000002503395,0.01413000002503395,0.01413000002503395,0.01413000002503395,0
2011-05-09,0.013570000417530537,0.013570000417530537,0.013570000417530537,0.013570000417530537,0
2011-05-10,0.013000000268220901,0.013000000268220901,0.013000000268220901,0.013000000268220901,0
2011-05-11,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2011-05-12,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-13,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-16,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-17,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-18,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-19,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-20,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-05-23,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-05-24,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-05-25,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-26,0.011309999972581863,0.011309999972581863,0.011309999972581863,0.011309999972581863,0
2011-05-27,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2011-05-31,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-06-01,0.010739999823272228,0.010739999823272228,0.010739999823272228,0.010739999823272228,0
2011-06-02,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2011-06-03,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2011-06-06,0.011869999580085278,0.011869999580085278,0.011869999580085278,0.011869999580085278,0
2011-06-07,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-06-08,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-09,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-06-10,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-06-13,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-06-14,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-15,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-16,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-17,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-20,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-06-21,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-06-22,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-06-23,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-06-24,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-06-27,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-06-28,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-06-29,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-06-30,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-07-01,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-07-05,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-07-06,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-07-07,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-08,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-11,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-12,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-13,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-14,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-15,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-07-18,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-07-19,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-20,0.009610000066459179,0.009610000066459179,0.009610000066459179,0.009610000066459179,0
2011-07-21,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-22,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-25,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-07-26,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-07-27,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-07-28,0.010180000215768814,0.010180000215768814,0.010180000215768814,0.010180000215768814,0
2011-07-29,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-08-01,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-08-02,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-08-03,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-08-04,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-08-05,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-08,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-09,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-10,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-11,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-12,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-08-15,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-16,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-17,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-18,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-19,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-22,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-23,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-24,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-25,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-26,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-29,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-30,0.00791999977082014,0.00791999977082014,0.00791999977082014,0.00791999977082014,0
2011-08-31,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-09-01,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-09-02,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-09-06,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-09-07,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
2011-09-08,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-09-09,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-09-12,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-09-13,0.009050000458955765,0.009050000458955765,0.009050000458955765,0.009050000458955765,0
2011-09-14,0.00848000030964613,0.00848000030964613,0.00848000030964613,0.00848000030964613,0
